expense_name,category,cost_in_rs,frequency,ground_truth_type,decision_time_sec,user_decision,correct
Concert Ticket,Food,169,daily,need,1.35,need,1
Hotel Stay,Entertainment,1237,weekly,want,1.69,need,0
Clothes Shopping,Utilities,1491,weekly,need,3.49,need,1
Party Expenses,Travel,1049,monthly,want,2.11,want,1
Gym Membership,Housing,18924,daily,need,2.23,need,1
Health Insurance,Education,16640,daily,need,0.96,need,1
Emergency Meds,Entertainment,471,daily,want,2.07,want,1
Hotel Stay,Food,1573,daily,need,1.43,want,0
Dining Out,Shopping,1053,weekly,want,2.3,want,1
Clothes Shopping,Lifestyle,2606,weekly,want,2.35,need,0
Internet Plan,Travel,12048,one-time,want,1.43,need,0
Groceries,Medical,921,daily,need,2.96,want,0
Coffee,Education,3692,one-time,need,3.29,need,1
Concert Ticket,Medical,4029,daily,need,1.29,need,1
Health Insurance,Entertainment,993,one-time,want,3.06,need,0
Doctor Visit,Utilities,3607,one-time,need,3.31,need,1
Medicines,Utilities,2631,one-time,need,0.72,want,0
School Fees,Entertainment,2470,monthly,want,1.47,want,1
Dining Out,Lifestyle,2930,monthly,want,2.7,want,1
Party Expenses,Entertainment,260,one-time,want,1.4,want,1
Dining Out,Travel,6882,one-time,want,3.39,want,1
Online Course,Housing,19805,weekly,need,2.53,need,1
Medicines,Travel,9391,daily,want,2.58,want,1
Phone EMI,Housing,12233,one-time,need,2.09,want,0
Travel Tickets,Medical,3773,monthly,need,0.73,need,1
Gift Purchase,Utilities,3607,daily,need,2.49,need,1
Medicines,Utilities,1313,daily,need,0.72,need,1
Groceries,Travel,3365,weekly,want,0.61,want,1
Laptop EMI,Travel,9203,daily,want,0.74,want,1
Gadgets,Entertainment,281,one-time,want,0.6,want,1
Laptop EMI,Shopping,3205,monthly,want,2.88,want,1
Taxi Ride,Utilities,2610,daily,need,1.03,need,1
Taxi Ride,Travel,2592,one-time,want,2.55,want,1
Gift Purchase,Shopping,1851,one-time,want,1.68,want,1
Doctor Visit,Food,1345,weekly,need,3.43,need,1
Gadgets,Food,1489,daily,need,2.0,need,1
Electricity Bill,Medical,2116,monthly,need,1.02,need,1
Water Bill,Education,3665,daily,need,3.3,want,0
Travel Tickets,Shopping,6331,weekly,want,1.98,want,1
Coffee,Education,15120,daily,need,1.44,need,1
Movie Night,Shopping,7753,monthly,want,2.73,want,1
Clothes Shopping,Entertainment,394,weekly,want,1.13,want,1
Salon Visit,Lifestyle,1087,one-time,want,1.79,want,1
Salon Visit,Food,1678,weekly,need,1.38,need,1
Travel Tickets,Medical,1777,monthly,need,1.97,need,1
Party Expenses,Travel,8563,weekly,want,0.8,want,1
Coffee,Food,2359,monthly,need,2.93,need,1
Taxi Ride,Education,14870,weekly,need,0.53,need,1
Bus Pass,Lifestyle,391,daily,want,0.93,want,1
Emergency Meds,Medical,2083,weekly,need,2.01,need,1
Online Course,Shopping,5782,daily,want,2.36,want,1
Travel Tickets,Food,930,monthly,need,1.56,need,1
Internet Plan,Education,13468,daily,need,3.09,want,0
Health Insurance,Entertainment,2830,daily,want,1.87,want,1
Electricity Bill,Shopping,7472,weekly,want,1.12,want,1
Salon Visit,Shopping,5738,monthly,want,3.05,want,1
School Fees,Food,565,weekly,need,2.12,need,1
Gift Purchase,Travel,7415,one-time,want,2.89,need,0
Coffee,Housing,5244,daily,need,2.67,need,1
Internet Plan,Entertainment,2046,one-time,want,0.56,want,1
New Sneakers,Shopping,5441,daily,want,2.78,want,1
Online Course,Medical,2358,monthly,need,0.64,need,1
Medicines,Shopping,4792,daily,want,0.57,want,1
Movie Night,Shopping,6579,weekly,want,3.28,want,1
Gift Purchase,Utilities,1275,daily,need,1.58,want,0
New Sneakers,Entertainment,1069,one-time,want,2.45,want,1
Streaming Subscription,Entertainment,502,monthly,want,2.59,want,1
Internet Plan,Housing,14990,one-time,need,1.66,want,0
Fast Food,Lifestyle,2285,daily,want,2.29,want,1
School Fees,Lifestyle,1272,daily,want,2.27,need,0
Clothes Shopping,Entertainment,2390,one-time,want,1.81,want,1
Emergency Meds,Utilities,1639,weekly,need,2.56,need,1
Water Bill,Food,960,one-time,need,1.04,need,1
Insurance Premium,Utilities,605,daily,need,2.65,need,1
Movie Night,Travel,6610,one-time,want,1.46,want,1
Groceries,Lifestyle,2367,weekly,want,0.91,want,1
Gym Membership,Lifestyle,2397,one-time,want,0.68,want,1
Electricity Bill,Medical,3875,weekly,need,1.12,need,1
Emergency Meds,Medical,2047,one-time,need,0.62,want,0
Travel Tickets,Entertainment,2440,weekly,want,2.67,want,1
Clothes Shopping,Education,4006,monthly,need,1.81,need,1
Laptop EMI,Medical,3851,weekly,need,2.49,need,1
Fast Food,Entertainment,931,one-time,want,1.64,want,1
Medicines,Education,16989,weekly,need,1.14,need,1
Phone EMI,Food,336,daily,need,0.61,want,0
Fast Food,Housing,17710,weekly,need,3.5,need,1
Travel Tickets,Shopping,2757,daily,want,2.94,want,1
Salon Visit,Entertainment,1903,weekly,want,1.73,want,1
Internet Plan,Travel,2082,weekly,want,1.22,want,1
Doctor Visit,Food,918,monthly,need,1.24,need,1
Mobile Recharge,Housing,11703,monthly,need,2.28,want,0
Insurance Premium,Travel,4431,weekly,want,2.8,want,1
Fast Food,Food,2188,weekly,need,3.33,need,1
Travel Tickets,Travel,2557,daily,want,0.94,want,1
Movie Night,Travel,7871,monthly,want,1.33,want,1
Health Insurance,Utilities,2091,monthly,need,1.94,need,1
Snacks,Travel,2709,daily,want,2.11,want,1
Gift Purchase,Medical,357,one-time,need,2.16,need,1
Party Expenses,Education,9513,one-time,need,1.93,need,1
Gadgets,Entertainment,603,one-time,want,1.75,want,1
School Fees,Utilities,2744,daily,need,2.21,want,0
Medicines,Lifestyle,143,one-time,want,0.69,want,1
Medicines,Housing,11222,weekly,need,2.21,need,1
Electricity Bill,Education,16403,daily,need,0.8,need,1
Fast Food,Housing,5243,one-time,need,0.55,need,1
Hotel Stay,Utilities,2085,monthly,need,1.89,need,1
Water Bill,Lifestyle,2978,one-time,want,2.98,need,0
Internet Plan,Shopping,7744,monthly,want,1.74,want,1
Coffee,Shopping,6990,daily,want,3.35,need,0
Gadgets,Medical,585,daily,need,1.76,want,0
Bus Pass,Food,943,one-time,need,2.89,want,0
Party Expenses,Housing,14495,weekly,need,0.9,need,1
Travel Tickets,Shopping,4203,one-time,want,3.38,want,1
Health Insurance,Food,933,daily,need,2.06,want,0
Clothes Shopping,Shopping,7316,one-time,want,0.84,want,1
Streaming Subscription,Entertainment,403,daily,want,3.06,want,1
Petrol,Entertainment,2279,daily,want,2.08,want,1
Doctor Visit,Education,16931,daily,need,0.82,want,0
Movie Night,Travel,4497,monthly,want,0.61,want,1
School Fees,Food,2059,monthly,need,3.28,need,1
Groceries,Food,1497,daily,need,0.69,need,1
Internet Plan,Shopping,1999,monthly,want,2.69,want,1
Clothes Shopping,Entertainment,1816,monthly,want,3.45,need,0
Snacks,Medical,2367,weekly,need,2.96,need,1
Movie Night,Shopping,6252,one-time,want,1.09,want,1
Internet Plan,Shopping,4971,weekly,want,1.01,want,1
Internet Plan,Shopping,2085,weekly,want,1.75,want,1
Streaming Subscription,Lifestyle,2494,one-time,want,1.91,want,1
Rent,Utilities,1887,daily,need,2.22,need,1
Dining Out,Travel,3605,monthly,want,1.6,need,0
Hotel Stay,Food,1155,one-time,need,3.32,need,1
Gym Membership,Travel,14522,daily,want,0.54,want,1
Party Expenses,Food,1911,one-time,need,1.16,need,1
Internet Plan,Lifestyle,1505,one-time,want,1.45,want,1
Coffee,Utilities,890,daily,need,2.92,need,1
Laptop EMI,Education,7298,daily,need,2.13,want,0
Water Bill,Lifestyle,1666,daily,want,2.95,need,0
Travel Tickets,Housing,16805,monthly,need,1.8,want,0
Laptop EMI,Utilities,2879,weekly,need,2.92,need,1
Emergency Meds,Education,923,one-time,need,1.67,need,1
Laptop EMI,Utilities,1447,monthly,need,2.59,need,1
Laptop EMI,Entertainment,1975,weekly,want,0.76,want,1
Bus Pass,Lifestyle,1470,monthly,want,2.33,want,1
Streaming Subscription,Food,216,daily,need,3.01,need,1
Phone EMI,Medical,2402,one-time,need,2.18,need,1
Health Insurance,Food,877,monthly,need,1.91,need,1
Medicines,Entertainment,1728,daily,want,1.86,want,1
Hotel Stay,Food,2134,one-time,need,3.3,need,1
Salon Visit,Utilities,455,monthly,need,2.02,need,1
Phone EMI,Shopping,5544,one-time,want,1.8,want,1
Electricity Bill,Medical,3389,weekly,need,1.57,need,1
Party Expenses,Travel,4261,one-time,want,3.47,want,1
New Sneakers,Education,19046,monthly,need,2.59,need,1
Doctor Visit,Housing,12213,daily,need,2.54,need,1
Internet Plan,Food,988,daily,need,3.03,need,1
Electricity Bill,Utilities,2543,weekly,need,0.74,need,1
Clothes Shopping,Travel,9085,monthly,want,2.98,want,1
Laptop EMI,Shopping,1229,weekly,want,1.42,want,1
Laptop EMI,Travel,8843,weekly,want,1.47,want,1
Dining Out,Education,14664,weekly,need,1.89,need,1
Doctor Visit,Entertainment,1052,monthly,want,0.94,want,1
School Fees,Entertainment,288,monthly,want,1.74,need,0
Petrol,Lifestyle,2734,daily,want,0.55,need,0
Coffee,Utilities,2314,monthly,need,0.55,need,1
Gift Purchase,Medical,4856,daily,need,2.3,need,1
Bus Pass,Lifestyle,2535,weekly,want,2.49,want,1
Internet Plan,Travel,4503,weekly,want,0.72,want,1
Travel Tickets,Travel,3125,weekly,want,1.73,want,1
Gift Purchase,Utilities,1413,monthly,need,0.73,need,1
Streaming Subscription,Shopping,2371,one-time,want,3.11,want,1
Water Bill,Medical,3384,monthly,need,0.77,need,1
Groceries,Education,10310,daily,need,3.0,need,1
Concert Ticket,Travel,3185,monthly,want,2.5,want,1
Streaming Subscription,Housing,17371,daily,need,3.03,need,1
Health Insurance,Education,19542,monthly,need,3.1,need,1
Concert Ticket,Utilities,457,daily,need,2.41,want,0
Gift Purchase,Lifestyle,1776,one-time,want,1.13,need,0
Bus Pass,Entertainment,1609,weekly,want,2.54,need,0
Concert Ticket,Shopping,7819,monthly,want,2.2,want,1
New Sneakers,Lifestyle,2167,daily,want,2.43,want,1
Movie Night,Travel,13380,weekly,want,0.99,want,1
Online Course,Travel,1726,one-time,want,1.12,need,0
Mobile Recharge,Housing,8190,monthly,need,1.22,need,1
Coffee,Shopping,2980,one-time,want,3.34,want,1
Insurance Premium,Lifestyle,2480,one-time,want,0.69,want,1
Snacks,Housing,9350,one-time,need,0.75,need,1
Bus Pass,Utilities,1990,weekly,need,1.24,need,1
Electricity Bill,Housing,8635,one-time,need,2.12,need,1
Travel Tickets,Shopping,1330,one-time,want,2.61,want,1
Medicines,Entertainment,1458,daily,want,2.78,want,1
Bus Pass,Medical,2160,daily,need,1.59,want,0
School Fees,Shopping,7969,weekly,want,1.53,want,1
Dining Out,Medical,4429,daily,need,3.01,need,1
Insurance Premium,Education,15438,weekly,need,1.84,need,1
Petrol,Shopping,3974,weekly,want,3.44,need,0
Internet Plan,Medical,876,daily,need,2.74,want,0
Rent,Utilities,1498,weekly,need,1.4,need,1
Emergency Meds,Medical,1523,weekly,need,2.97,want,0
Gym Membership,Housing,8669,daily,need,2.35,need,1
Dining Out,Shopping,3866,weekly,want,0.6,want,1
Mobile Recharge,Utilities,1454,monthly,need,1.39,need,1
Gadgets,Medical,3183,daily,need,1.4,need,1
Groceries,Travel,13811,weekly,want,2.35,want,1
Movie Night,Housing,14754,one-time,need,3.06,need,1
New Sneakers,Entertainment,1245,monthly,want,3.19,need,0
Party Expenses,Utilities,2327,one-time,need,2.5,need,1
Insurance Premium,Shopping,2851,one-time,want,3.44,want,1
Laptop EMI,Food,2486,weekly,need,3.16,need,1
Snacks,Food,1490,monthly,need,1.41,want,0
Groceries,Shopping,6494,weekly,want,1.65,want,1
Salon Visit,Food,446,daily,need,1.55,need,1
Clothes Shopping,Utilities,1877,one-time,need,2.65,need,1
Phone EMI,Food,1650,weekly,need,0.99,need,1
Online Course,Lifestyle,639,daily,want,2.45,want,1
Phone EMI,Medical,248,weekly,need,1.73,need,1
Gym Membership,Travel,1289,one-time,want,1.87,need,0
Internet Plan,Utilities,573,monthly,need,1.52,want,0
Snacks,Travel,4079,one-time,want,1.81,want,1
School Fees,Lifestyle,446,monthly,want,1.67,want,1
Hotel Stay,Lifestyle,2647,daily,want,1.61,need,0
Gym Membership,Medical,2995,daily,need,2.12,need,1
School Fees,Travel,14597,weekly,want,1.32,want,1
Bus Pass,Utilities,3917,one-time,need,3.49,need,1
Laptop EMI,Medical,648,weekly,need,3.4,need,1
Gym Membership,Housing,16015,weekly,need,2.38,need,1
Fast Food,Shopping,4990,daily,want,2.78,want,1
Phone EMI,Shopping,991,daily,want,1.07,want,1
Clothes Shopping,Utilities,3555,monthly,need,0.8,need,1
New Sneakers,Shopping,814,monthly,want,0.77,want,1
Mobile Recharge,Housing,6742,one-time,need,2.32,need,1
Insurance Premium,Food,2025,monthly,need,0.69,need,1
Petrol,Food,511,weekly,need,3.1,need,1
Gym Membership,Medical,3211,monthly,need,2.19,need,1
Salon Visit,Utilities,924,weekly,need,2.44,need,1
Online Course,Shopping,5320,one-time,want,1.67,want,1
Party Expenses,Education,1019,monthly,need,2.24,need,1
Water Bill,Utilities,3019,weekly,need,3.31,need,1
Coffee,Medical,3377,one-time,need,3.46,need,1
Movie Night,Education,19963,weekly,need,2.96,need,1
Gift Purchase,Lifestyle,609,daily,want,3.48,want,1
Emergency Meds,Lifestyle,1796,daily,want,1.09,want,1
Fast Food,Medical,1253,monthly,need,1.31,need,1
New Sneakers,Medical,2487,monthly,need,0.85,need,1
Insurance Premium,Medical,2626,weekly,need,2.74,need,1
Streaming Subscription,Utilities,1514,daily,need,1.66,need,1
Snacks,Lifestyle,2639,weekly,want,2.85,want,1
Groceries,Travel,4351,weekly,want,0.92,want,1
Petrol,Utilities,1520,daily,need,1.14,want,0
Snacks,Shopping,5531,daily,want,2.93,want,1
Gadgets,Utilities,739,one-time,need,3.05,need,1
Hotel Stay,Medical,2952,weekly,need,0.54,need,1
Fast Food,Lifestyle,2542,weekly,want,0.79,need,0
Medicines,Food,2408,monthly,need,2.94,need,1
Salon Visit,Lifestyle,1462,one-time,want,1.75,need,0
School Fees,Entertainment,2030,one-time,want,3.38,want,1
Water Bill,Housing,16681,weekly,need,1.99,need,1
Taxi Ride,Food,2019,daily,need,0.59,need,1
Phone EMI,Food,2431,one-time,need,0.63,want,0
Groceries,Utilities,795,one-time,need,3.28,need,1
Gym Membership,Housing,18760,one-time,need,2.06,want,0
New Sneakers,Lifestyle,1128,daily,want,0.56,want,1
Emergency Meds,Food,2065,monthly,need,1.32,need,1
Internet Plan,Utilities,3193,monthly,need,2.97,need,1
School Fees,Utilities,1323,daily,need,1.13,need,1
Bus Pass,Lifestyle,2092,one-time,want,2.08,want,1
Groceries,Housing,9797,weekly,need,1.35,want,0
Emergency Meds,Housing,6446,daily,need,1.64,want,0
Clothes Shopping,Medical,1255,monthly,need,2.38,need,1
Groceries,Travel,5923,monthly,want,2.06,want,1
Phone EMI,Food,1625,weekly,need,3.21,need,1
Health Insurance,Food,2039,daily,need,2.46,want,0
Internet Plan,Medical,2948,one-time,need,1.81,need,1
Medicines,Medical,3250,one-time,need,1.68,need,1
Internet Plan,Education,5597,weekly,need,1.63,need,1
Bus Pass,Travel,5191,one-time,want,2.82,want,1
Travel Tickets,Travel,3034,one-time,want,0.87,want,1
New Sneakers,Food,448,monthly,need,1.41,need,1
Travel Tickets,Travel,3582,weekly,want,3.49,want,1
Groceries,Entertainment,313,daily,want,2.9,want,1
Clothes Shopping,Food,1611,weekly,need,2.89,need,1
Movie Night,Medical,3499,daily,need,3.37,want,0
Taxi Ride,Utilities,2463,weekly,need,2.15,need,1
Emergency Meds,Medical,778,weekly,need,2.09,need,1
Clothes Shopping,Education,17732,monthly,need,2.77,want,0
Taxi Ride,Shopping,7207,monthly,want,1.44,want,1
Party Expenses,Food,746,daily,need,0.97,want,0
Emergency Meds,Education,4875,one-time,need,1.02,want,0
Bus Pass,Shopping,6966,weekly,want,3.48,need,0
Laptop EMI,Lifestyle,1853,weekly,want,1.76,need,0
Mobile Recharge,Shopping,7470,weekly,want,0.97,want,1
Rent,Medical,4345,one-time,need,1.96,need,1
Salon Visit,Housing,18674,daily,need,0.72,need,1
Medicines,Lifestyle,374,one-time,want,2.81,want,1
Party Expenses,Travel,537,monthly,want,0.54,want,1
Water Bill,Utilities,990,one-time,need,1.89,need,1
Party Expenses,Entertainment,2385,monthly,want,1.47,want,1
Concert Ticket,Entertainment,1007,weekly,want,0.81,want,1
School Fees,Medical,4254,weekly,need,0.64,need,1
Coffee,Housing,14715,weekly,need,0.77,want,0
Doctor Visit,Food,320,weekly,need,0.59,need,1
Snacks,Education,5023,monthly,need,2.66,need,1
Internet Plan,Food,1482,one-time,need,2.37,need,1
Clothes Shopping,Medical,4770,monthly,need,3.16,need,1
Gadgets,Lifestyle,1189,one-time,want,1.5,want,1
Health Insurance,Education,5945,daily,need,2.05,need,1
Movie Night,Housing,12588,daily,need,1.6,need,1
Party Expenses,Travel,10535,monthly,want,2.96,want,1
Rent,Lifestyle,350,weekly,want,1.62,need,0
School Fees,Utilities,2176,monthly,need,1.99,need,1
Movie Night,Education,4247,daily,need,0.8,need,1
Mobile Recharge,Travel,13694,monthly,want,3.36,want,1
Hotel Stay,Shopping,3656,monthly,want,2.35,need,0
Mobile Recharge,Entertainment,772,one-time,want,3.47,need,0
Online Course,Food,588,one-time,need,1.83,need,1
Fast Food,Medical,4283,daily,need,1.38,need,1
Gift Purchase,Shopping,7506,monthly,want,1.69,need,0
Petrol,Medical,3915,daily,need,2.62,need,1
Laptop EMI,Lifestyle,1813,monthly,want,2.55,need,0
Insurance Premium,Travel,7477,daily,want,1.85,want,1
Petrol,Food,1992,monthly,need,2.64,need,1
Hotel Stay,Education,9281,one-time,need,1.17,want,0
New Sneakers,Lifestyle,1339,weekly,want,1.25,want,1
Phone EMI,Lifestyle,1319,weekly,want,1.09,want,1
Water Bill,Lifestyle,2315,weekly,want,1.41,want,1
Dining Out,Housing,8697,daily,need,3.2,want,0
Snacks,Lifestyle,138,weekly,want,0.84,want,1
Electricity Bill,Utilities,2333,one-time,need,2.52,need,1
School Fees,Education,13392,daily,need,1.97,need,1
Gift Purchase,Entertainment,2154,monthly,want,1.98,want,1
School Fees,Education,17604,weekly,need,2.16,want,0
Rent,Utilities,1550,weekly,need,0.76,need,1
Doctor Visit,Housing,17590,weekly,need,0.9,want,0
Gadgets,Housing,18658,daily,need,1.03,want,0
Mobile Recharge,Lifestyle,536,daily,want,2.51,need,0
Taxi Ride,Medical,3478,weekly,need,1.37,need,1
Doctor Visit,Entertainment,913,one-time,want,2.48,want,1
Coffee,Lifestyle,2339,monthly,want,0.83,want,1
Health Insurance,Food,903,daily,need,3.16,need,1
Online Course,Entertainment,1800,daily,want,2.12,want,1
Bus Pass,Food,2314,weekly,need,0.8,want,0
Laptop EMI,Travel,3892,monthly,want,1.92,want,1
Movie Night,Utilities,3787,monthly,need,2.83,want,0
Clothes Shopping,Food,1345,daily,need,1.93,need,1
Streaming Subscription,Entertainment,1936,monthly,want,2.25,want,1
Emergency Meds,Lifestyle,1745,one-time,want,2.73,want,1
Water Bill,Medical,1834,one-time,need,1.03,need,1
Gadgets,Utilities,3898,daily,need,2.48,need,1
Movie Night,Food,188,one-time,need,2.72,want,0
Hotel Stay,Entertainment,1584,one-time,want,1.19,want,1
Gym Membership,Education,2201,weekly,need,1.63,need,1
Fast Food,Shopping,5711,weekly,want,1.44,want,1
Fast Food,Lifestyle,2850,monthly,want,1.42,want,1
New Sneakers,Travel,11020,one-time,want,2.21,want,1
Movie Night,Travel,5731,one-time,want,1.76,want,1
Travel Tickets,Food,899,one-time,need,2.69,need,1
Doctor Visit,Lifestyle,412,daily,want,1.37,need,0
Phone EMI,Utilities,2684,monthly,need,0.92,need,1
Snacks,Medical,3001,monthly,need,2.95,need,1
Phone EMI,Education,2300,monthly,need,0.62,need,1
Salon Visit,Lifestyle,1924,monthly,want,0.74,want,1
Phone EMI,Travel,2740,monthly,want,3.43,need,0
Salon Visit,Medical,2742,one-time,need,1.79,need,1
Concert Ticket,Travel,8544,monthly,want,1.59,want,1
Petrol,Shopping,7243,one-time,want,1.27,need,0
Taxi Ride,Shopping,1696,one-time,want,2.32,want,1
Dining Out,Education,2093,daily,need,2.51,need,1
Streaming Subscription,Shopping,3497,weekly,want,1.64,want,1
Concert Ticket,Entertainment,866,monthly,want,1.46,want,1
Health Insurance,Medical,4416,weekly,need,2.42,need,1
Fast Food,Housing,8212,one-time,need,3.4,need,1
Taxi Ride,Utilities,1446,daily,need,2.47,need,1
Mobile Recharge,Housing,17891,weekly,need,0.6,need,1
Petrol,Travel,8546,weekly,want,2.0,need,0
Electricity Bill,Housing,18635,daily,need,2.77,need,1
Gift Purchase,Medical,4909,weekly,need,1.05,need,1
Taxi Ride,Travel,4213,one-time,want,0.61,want,1
Dining Out,Medical,4217,weekly,need,3.47,need,1
Taxi Ride,Utilities,3594,monthly,need,1.53,need,1
Internet Plan,Shopping,1048,one-time,want,1.04,want,1
Taxi Ride,Medical,795,daily,need,1.06,need,1
Party Expenses,Shopping,1889,weekly,want,1.99,want,1
Bus Pass,Housing,8606,one-time,need,2.32,need,1
Water Bill,Utilities,1666,monthly,need,3.22,need,1
Gym Membership,Lifestyle,1395,monthly,want,1.69,want,1
Gadgets,Housing,13061,one-time,need,0.55,want,0
Travel Tickets,Utilities,3493,weekly,need,1.63,need,1
Salon Visit,Medical,3812,daily,need,2.04,need,1
Water Bill,Lifestyle,1017,one-time,want,0.91,want,1
Online Course,Education,4938,daily,need,3.14,need,1
Medicines,Housing,13924,monthly,need,0.74,need,1
Rent,Utilities,2313,weekly,need,2.72,need,1
Clothes Shopping,Education,1026,monthly,need,2.21,need,1
Petrol,Food,1997,one-time,need,1.2,need,1
Online Course,Shopping,303,daily,want,3.15,need,0
Electricity Bill,Travel,10054,one-time,want,1.55,want,1
Mobile Recharge,Travel,1147,monthly,want,0.52,want,1
Travel Tickets,Utilities,2633,weekly,need,2.42,need,1
Doctor Visit,Lifestyle,318,one-time,want,1.63,want,1
Petrol,Travel,5342,one-time,want,2.39,want,1
Gift Purchase,Utilities,2002,one-time,need,2.1,need,1
School Fees,Shopping,3175,weekly,want,1.34,need,0
Bus Pass,Lifestyle,2911,daily,want,1.52,want,1
Clothes Shopping,Medical,1374,monthly,need,1.25,want,0
Fast Food,Travel,14431,weekly,want,0.82,want,1
Laptop EMI,Food,1490,monthly,need,1.17,want,0
Mobile Recharge,Food,1312,daily,need,0.96,need,1
Health Insurance,Housing,18728,daily,need,0.8,need,1
Water Bill,Food,958,one-time,need,2.55,want,0
Hotel Stay,Lifestyle,2889,monthly,want,2.86,want,1
Gadgets,Lifestyle,1497,monthly,want,0.76,want,1
School Fees,Housing,10966,weekly,need,2.35,need,1
Online Course,Lifestyle,149,daily,want,1.94,need,0
Internet Plan,Shopping,5911,one-time,want,1.67,need,0
Water Bill,Housing,15689,one-time,need,3.45,need,1
Hotel Stay,Travel,9741,weekly,want,2.22,want,1
Clothes Shopping,Lifestyle,1766,weekly,want,2.66,need,0
Gift Purchase,Medical,3287,one-time,need,2.01,want,0
Party Expenses,Medical,1341,daily,need,2.51,need,1
Laptop EMI,Utilities,983,one-time,need,3.15,need,1
Health Insurance,Education,17865,daily,need,2.1,need,1
Fast Food,Food,1473,one-time,need,0.55,need,1
Mobile Recharge,Entertainment,523,weekly,want,3.33,need,0
Dining Out,Education,9206,monthly,need,0.57,want,0
Travel Tickets,Utilities,3436,weekly,need,0.81,want,0
Emergency Meds,Travel,5674,monthly,want,1.38,want,1
Water Bill,Utilities,1280,one-time,need,3.41,need,1
Emergency Meds,Medical,4646,weekly,need,2.35,need,1
Coffee,Medical,4978,daily,need,3.08,want,0
Hotel Stay,Entertainment,1210,daily,want,2.09,need,0
Travel Tickets,Travel,12018,monthly,want,0.56,want,1
Doctor Visit,Lifestyle,1035,one-time,want,1.81,need,0
Clothes Shopping,Food,636,weekly,need,1.54,need,1
Snacks,Shopping,7115,one-time,want,1.46,want,1
Internet Plan,Food,302,monthly,need,1.71,want,0
Mobile Recharge,Travel,2627,monthly,want,3.31,want,1
Dining Out,Medical,3111,monthly,need,2.05,need,1
Petrol,Shopping,6838,one-time,want,2.61,want,1
Doctor Visit,Entertainment,2618,weekly,want,3.34,need,0
Insurance Premium,Food,1769,daily,need,1.61,need,1
Health Insurance,Entertainment,776,monthly,want,1.25,need,0
Snacks,Food,149,one-time,need,1.6,need,1
Party Expenses,Food,1876,weekly,need,2.12,need,1
Hotel Stay,Utilities,2106,monthly,need,2.39,need,1
Health Insurance,Entertainment,782,monthly,want,1.82,want,1
Laptop EMI,Food,1785,one-time,need,2.96,want,0
Dining Out,Entertainment,1134,daily,want,0.94,want,1
Doctor Visit,Utilities,3035,monthly,need,2.35,need,1
Dining Out,Medical,3289,daily,need,2.2,need,1
Doctor Visit,Utilities,319,one-time,need,0.61,need,1
Bus Pass,Lifestyle,568,daily,want,1.26,want,1
Coffee,Housing,8118,weekly,need,1.44,need,1
Dining Out,Medical,3465,daily,need,2.29,need,1
New Sneakers,Travel,13877,one-time,want,2.75,want,1
Water Bill,Entertainment,383,daily,want,3.02,want,1
Salon Visit,Lifestyle,2210,one-time,want,3.42,want,1
Clothes Shopping,Food,1688,daily,need,1.76,need,1
Insurance Premium,Travel,2116,one-time,want,3.02,want,1
Phone EMI,Entertainment,2936,one-time,want,2.65,want,1
Dining Out,Utilities,2823,daily,need,3.22,need,1
Groceries,Entertainment,2625,weekly,want,2.58,want,1
Taxi Ride,Entertainment,1043,weekly,want,3.35,want,1
Bus Pass,Education,7332,one-time,need,2.09,need,1
Party Expenses,Medical,1092,daily,need,2.09,need,1
Gadgets,Medical,2020,daily,need,1.49,need,1
Internet Plan,Shopping,5191,monthly,want,0.54,need,0
Streaming Subscription,Lifestyle,1678,monthly,want,2.93,want,1
Travel Tickets,Shopping,3820,one-time,want,1.37,want,1
Emergency Meds,Entertainment,345,daily,want,1.67,want,1
Streaming Subscription,Housing,14125,one-time,need,2.8,need,1
Gadgets,Travel,1993,daily,want,1.98,want,1
Salon Visit,Housing,17198,one-time,need,3.48,need,1
Emergency Meds,Education,14004,monthly,need,3.37,need,1
Salon Visit,Food,2294,daily,need,2.19,need,1
Internet Plan,Shopping,7830,weekly,want,0.52,want,1
Gadgets,Lifestyle,1738,daily,want,2.92,want,1
Taxi Ride,Utilities,1295,weekly,need,1.51,need,1
Gift Purchase,Utilities,2266,one-time,need,2.56,need,1
Gift Purchase,Education,19876,daily,need,0.76,need,1
Laptop EMI,Education,7790,monthly,need,2.37,need,1
Rent,Utilities,3719,daily,need,1.33,want,0
Travel Tickets,Medical,3543,weekly,need,1.79,need,1
Concert Ticket,Food,2309,weekly,need,2.69,need,1
Travel Tickets,Housing,13740,daily,need,2.76,need,1
Health Insurance,Shopping,5117,daily,want,1.44,need,0
Taxi Ride,Food,1504,weekly,need,2.12,need,1
Medicines,Food,2307,one-time,need,2.75,need,1
Gadgets,Food,110,monthly,need,2.34,want,0
Water Bill,Travel,8921,one-time,want,1.89,want,1
Emergency Meds,Utilities,629,monthly,need,3.2,need,1
Snacks,Lifestyle,109,one-time,want,2.95,want,1
Rent,Lifestyle,2718,weekly,want,3.38,want,1
Online Course,Housing,7008,weekly,need,0.8,want,0
Hotel Stay,Shopping,2962,daily,want,0.82,want,1
School Fees,Utilities,3404,weekly,need,1.2,need,1
Emergency Meds,Lifestyle,2292,weekly,want,1.18,want,1
New Sneakers,Entertainment,2673,one-time,want,1.93,want,1
Doctor Visit,Medical,1769,weekly,need,2.55,need,1
