id,asset,risk_score,emotion_bias,investment_amount,market_event
3076,Commodities,36,Confirmation,307364,Crash
3077,Commodities,85,Loss Aversion,224456,Volatile
3078,Commodities,9,Confirmation,275148,Crash
3079,Real Estate,74,Loss Aversion,102206,Volatile
3080,Stocks,86,FOMO,296593,Crash
3081,Gold,47,FOMO,224775,Correction
3082,Commodities,23,Herd,437348,Bull Run
3083,Gold,6,Panic,362924,Volatile
3084,Bonds,68,Loss Aversion,184736,Crash
3085,Crypto,4,Loss Aversion,277761,Crash
3086,Bonds,87,Herd,343740,Bull Run
3087,Crypto,78,Herd,30026,Sideways
3088,Stocks,94,Calm,206643,Volatile
3089,Commodities,67,Confirmation,231426,Bull Run
3090,Bonds,50,Loss Aversion,291771,Bull Run
3091,Gold,62,Calm,499565,Volatile
3092,Gold,58,FOMO,233654,Correction
3093,Gold,56,Loss Aversion,7140,Crash
3094,Gold,41,Herd,362572,Crash
3095,Gold,95,Confirmation,160454,Sideways
3096,Bonds,15,Confirmation,497304,Volatile
3097,Commodities,49,Confirmation,477818,Correction
3098,Stocks,2,Loss Aversion,310119,Volatile
3099,Bonds,22,Loss Aversion,495247,Sideways
3100,Stocks,31,Loss Aversion,446789,Sideways
3101,Commodities,54,Panic,23213,Volatile
3102,Real Estate,36,Confirmation,158375,Bull Run
3103,Stocks,13,Loss Aversion,450263,Volatile
3104,Commodities,96,FOMO,160312,Bull Run
3105,Commodities,17,Panic,209902,Bull Run
3106,Stocks,22,FOMO,174495,Volatile
3107,Commodities,18,Calm,291039,Bull Run
3108,Commodities,93,Herd,130441,Correction
3109,Real Estate,49,FOMO,408949,Bull Run
3110,Real Estate,40,Calm,270374,Bull Run
3111,Bonds,93,Herd,326635,Bull Run
3112,Crypto,24,FOMO,136059,Crash
3113,Gold,95,Herd,33791,Bull Run
3114,Real Estate,3,FOMO,449555,Crash
3115,Real Estate,100,FOMO,119254,Volatile
3116,Commodities,43,Confirmation,360727,Sideways
3117,Gold,12,FOMO,246456,Volatile
3118,Crypto,16,Loss Aversion,135974,Sideways
3119,Gold,90,FOMO,137478,Crash
3120,Stocks,48,Herd,361313,Crash
3121,Real Estate,11,Confirmation,447531,Sideways
3122,Commodities,95,Loss Aversion,120361,Correction
3123,Commodities,83,Confirmation,310226,Bull Run
3124,Crypto,96,Herd,339557,Correction
3125,Real Estate,20,Confirmation,479323,Bull Run
3126,Real Estate,10,Confirmation,46005,Crash
3127,Stocks,18,FOMO,472090,Bull Run
3128,Commodities,72,FOMO,163825,Crash
3129,Real Estate,99,FOMO,236617,Sideways
3130,Commodities,75,Herd,482731,Bull Run
3131,Commodities,87,Loss Aversion,411460,Bull Run
3132,Bonds,71,Loss Aversion,209921,Correction
3133,Bonds,39,Panic,247586,Bull Run
3134,Gold,87,Panic,327860,Correction
3135,Bonds,32,Calm,266084,Correction
3136,Crypto,51,FOMO,457274,Crash
3137,Commodities,95,Loss Aversion,253903,Crash
3138,Bonds,22,Herd,74394,Bull Run
3139,Crypto,9,Loss Aversion,273361,Bull Run
3140,Gold,65,Herd,247862,Correction
3141,Real Estate,24,FOMO,316477,Sideways
3142,Gold,48,Confirmation,266756,Volatile
3143,Real Estate,11,Confirmation,404938,Bull Run
3144,Crypto,68,FOMO,258315,Bull Run
3145,Stocks,30,Confirmation,192169,Sideways
3146,Crypto,98,Confirmation,465530,Crash
3147,Crypto,69,Loss Aversion,133241,Crash
3148,Stocks,27,Herd,356819,Sideways
3149,Commodities,50,Loss Aversion,311572,Volatile
3150,Commodities,78,Calm,454444,Crash
3151,Real Estate,9,Panic,19704,Correction
3152,Stocks,99,Calm,164443,Bull Run
3153,Real Estate,86,Panic,455159,Bull Run
3154,Stocks,36,Loss Aversion,299910,Correction
3155,Real Estate,70,Loss Aversion,257048,Volatile
3156,Crypto,95,Loss Aversion,153020,Sideways
3157,Bonds,14,Confirmation,32689,Bull Run
3158,Commodities,41,Loss Aversion,214647,Crash
3159,Gold,38,Calm,459258,Crash
3160,Commodities,96,Confirmation,324063,Correction
3161,Stocks,95,Calm,129291,Volatile
3162,Stocks,72,FOMO,145961,Correction
3163,Bonds,53,Confirmation,213865,Correction
3164,Crypto,88,Confirmation,380897,Sideways
3165,Commodities,8,Loss Aversion,148293,Correction
3166,Bonds,99,Loss Aversion,28281,Bull Run
3167,Gold,25,FOMO,78010,Volatile
3168,Commodities,48,Panic,378709,Sideways
3169,Real Estate,93,Calm,298250,Bull Run
3170,Stocks,62,Herd,81854,Correction
3171,Bonds,3,Calm,249639,Sideways
3172,Bonds,63,FOMO,5517,Crash
3173,Crypto,30,FOMO,69272,Bull Run
3174,Commodities,43,Calm,74204,Volatile
3175,Stocks,19,Calm,489878,Correction
3176,Crypto,7,Panic,194000,Correction
3177,Commodities,35,Herd,224136,Sideways
3178,Bonds,33,Confirmation,28534,Correction
3179,Bonds,34,Confirmation,282475,Correction
3180,Real Estate,94,Loss Aversion,122964,Sideways
3181,Bonds,82,Loss Aversion,105966,Correction
3182,Bonds,79,Herd,76741,Sideways
3183,Gold,8,Herd,312333,Crash
3184,Commodities,10,Loss Aversion,476585,Crash
3185,Bonds,29,Loss Aversion,22546,Sideways
3186,Real Estate,43,Loss Aversion,83617,Sideways
3187,Stocks,54,Herd,482405,Volatile
3188,Real Estate,43,Loss Aversion,286857,Crash
3189,Bonds,66,Herd,194665,Volatile
3190,Stocks,80,Panic,363891,Volatile
3191,Bonds,97,Panic,17749,Crash
3192,Real Estate,26,Loss Aversion,462670,Crash
3193,Real Estate,52,Herd,311624,Crash
3194,Real Estate,72,Panic,458983,Sideways
3195,Commodities,61,Herd,375926,Sideways
3196,Stocks,70,Confirmation,375481,Sideways
3197,Crypto,88,FOMO,347096,Sideways
3198,Crypto,55,Confirmation,321600,Sideways
3199,Gold,47,Confirmation,218638,Correction
3200,Bonds,4,Panic,76442,Bull Run
3201,Bonds,5,Calm,422471,Crash
3202,Stocks,18,Confirmation,14893,Bull Run
3203,Crypto,85,Panic,79851,Sideways
3204,Crypto,66,Panic,424498,Crash
3205,Real Estate,40,Herd,274179,Crash
3206,Crypto,63,Loss Aversion,410465,Crash
3207,Commodities,99,FOMO,285379,Sideways
3208,Real Estate,99,Herd,218039,Bull Run
3209,Bonds,2,Calm,68564,Crash
3210,Crypto,33,Confirmation,465541,Correction
3211,Gold,12,Herd,465644,Bull Run
3212,Commodities,47,Calm,269011,Bull Run
3213,Stocks,10,Calm,277900,Sideways
3214,Gold,68,Calm,213195,Sideways
3215,Bonds,64,Panic,269787,Volatile
3216,Crypto,87,Loss Aversion,56276,Sideways
3217,Stocks,55,Herd,346913,Sideways
3218,Real Estate,95,Calm,253246,Crash
3219,Crypto,55,Herd,82239,Volatile
3220,Real Estate,14,Herd,363614,Bull Run
3221,Stocks,37,FOMO,188840,Correction
3222,Crypto,93,FOMO,331334,Crash
3223,Bonds,35,Calm,409008,Crash
3224,Bonds,92,FOMO,253355,Crash
3225,Crypto,49,Calm,309262,Correction
3226,Stocks,77,Calm,189132,Volatile
3227,Stocks,85,Confirmation,187978,Volatile
3228,Gold,2,Herd,496757,Crash
3229,Bonds,61,Confirmation,172722,Volatile
3230,Real Estate,41,Panic,351125,Bull Run
3231,Crypto,4,Confirmation,413386,Crash
3232,Bonds,10,Panic,287919,Sideways
3233,Bonds,50,Loss Aversion,261945,Correction
3234,Commodities,61,Herd,365011,Bull Run
3235,Commodities,99,Panic,39835,Crash
3236,Real Estate,71,Calm,443862,Correction
3237,Commodities,86,Herd,260907,Volatile
3238,Bonds,23,Herd,475650,Bull Run
3239,Real Estate,42,Panic,417493,Volatile
3240,Real Estate,89,Calm,125728,Bull Run
3241,Real Estate,1,Confirmation,279142,Sideways
3242,Crypto,57,Calm,277485,Bull Run
3243,Crypto,15,Panic,422554,Sideways
3244,Stocks,59,Panic,26565,Sideways
3245,Gold,34,FOMO,109402,Correction
3246,Bonds,93,Loss Aversion,265842,Sideways
3247,Real Estate,56,Herd,348552,Sideways
3248,Stocks,46,Loss Aversion,270220,Volatile
3249,Real Estate,58,FOMO,144977,Bull Run
3250,Crypto,76,Herd,121660,Crash
3251,Stocks,18,Herd,214175,Crash
3252,Real Estate,23,Calm,323348,Volatile
3253,Gold,30,FOMO,35444,Sideways
3254,Real Estate,75,Calm,201273,Volatile
3255,Commodities,16,Panic,258802,Bull Run
3256,Bonds,48,Calm,134306,Bull Run
3257,Stocks,48,Calm,266328,Correction
3258,Gold,72,Herd,299510,Bull Run
3259,Real Estate,6,Loss Aversion,40025,Bull Run
3260,Real Estate,74,Confirmation,329657,Sideways
3261,Stocks,97,Confirmation,484688,Bull Run
3262,Real Estate,5,FOMO,9505,Correction
3263,Stocks,72,Calm,96810,Volatile
3264,Commodities,73,FOMO,74417,Correction
3265,Gold,35,FOMO,480101,Sideways
3266,Bonds,56,Loss Aversion,247475,Correction
3267,Commodities,100,Calm,398537,Sideways
3268,Commodities,96,Confirmation,54269,Sideways
3269,Crypto,19,FOMO,214789,Bull Run
3270,Stocks,31,Loss Aversion,421961,Sideways
3271,Stocks,40,Confirmation,33318,Volatile
3272,Real Estate,58,FOMO,307006,Sideways
3273,Bonds,31,Panic,352419,Sideways
3274,Gold,72,Confirmation,493570,Bull Run
3275,Commodities,60,Confirmation,483688,Crash
3276,Bonds,98,Loss Aversion,463117,Crash
3277,Gold,17,Herd,203926,Volatile
3278,Real Estate,69,Panic,82058,Correction
3279,Commodities,1,Panic,312361,Volatile
3280,Gold,72,Calm,235880,Bull Run
3281,Real Estate,30,Panic,180219,Crash
3282,Crypto,8,Calm,485449,Correction
3283,Commodities,87,FOMO,215973,Bull Run
3284,Bonds,33,Panic,376653,Sideways
3285,Stocks,6,Confirmation,497575,Volatile
3286,Commodities,64,Calm,414524,Crash
3287,Commodities,16,Herd,250524,Correction
3288,Crypto,10,Herd,292850,Bull Run
3289,Gold,9,Loss Aversion,411178,Crash
3290,Bonds,48,Panic,270413,Bull Run
3291,Stocks,78,Herd,237893,Correction
3292,Real Estate,83,Calm,451509,Bull Run
3293,Real Estate,91,FOMO,5845,Bull Run
3294,Commodities,68,Confirmation,38355,Sideways
3295,Stocks,63,Confirmation,210471,Bull Run
3296,Crypto,54,Panic,260428,Sideways
3297,Stocks,42,FOMO,347682,Bull Run
3298,Crypto,58,Herd,115376,Crash
3299,Crypto,52,Herd,20873,Bull Run
3300,Commodities,62,FOMO,115595,Volatile
3301,Real Estate,47,Loss Aversion,59479,Volatile
3302,Real Estate,58,Confirmation,243792,Bull Run
3303,Bonds,43,Confirmation,203020,Sideways
3304,Gold,26,Confirmation,465268,Bull Run
3305,Gold,1,Panic,487591,Crash
3306,Bonds,19,FOMO,397534,Crash
3307,Real Estate,22,FOMO,408487,Bull Run
3308,Crypto,55,FOMO,208942,Sideways
3309,Bonds,71,Herd,31598,Correction
3310,Bonds,56,Panic,261470,Bull Run
3311,Crypto,83,Calm,104953,Crash
3312,Stocks,6,Loss Aversion,390386,Volatile
3313,Real Estate,62,Calm,292261,Bull Run
3314,Bonds,68,Confirmation,100345,Crash
3315,Crypto,100,Panic,141657,Bull Run
3316,Commodities,52,Calm,179692,Correction
3317,Crypto,18,Loss Aversion,66616,Bull Run
3318,Gold,44,Loss Aversion,453300,Correction
3319,Stocks,76,Loss Aversion,234389,Sideways
3320,Crypto,26,FOMO,280345,Correction
3321,Gold,6,Herd,207200,Crash
3322,Stocks,56,FOMO,54729,Volatile
3323,Real Estate,23,Herd,106212,Bull Run
3324,Crypto,40,Herd,361113,Volatile
3325,Bonds,61,Calm,124539,Correction
3326,Real Estate,77,FOMO,243099,Correction
3327,Real Estate,95,Loss Aversion,424542,Bull Run
3328,Gold,65,Confirmation,474471,Bull Run
3329,Crypto,29,Loss Aversion,288293,Correction
3330,Commodities,71,Confirmation,486565,Volatile
3331,Real Estate,38,Calm,234058,Sideways
3332,Commodities,51,Panic,49878,Volatile
3333,Crypto,57,Calm,109966,Crash
3334,Gold,32,Panic,76179,Crash
3335,Stocks,95,Confirmation,262429,Crash
3336,Crypto,12,Panic,486536,Volatile
3337,Crypto,31,Herd,306150,Volatile
3338,Bonds,76,Confirmation,364163,Crash
3339,Commodities,34,Confirmation,313928,Crash
3340,Gold,6,Loss Aversion,334733,Volatile
3341,Gold,97,Calm,206574,Sideways
3342,Real Estate,12,Calm,462505,Volatile
3343,Commodities,99,Loss Aversion,245362,Correction
3344,Bonds,54,Panic,29972,Bull Run
3345,Gold,85,Panic,472333,Volatile
3346,Gold,35,Herd,48614,Correction
3347,Commodities,39,Loss Aversion,69745,Crash
3348,Crypto,11,Panic,457518,Sideways
3349,Bonds,11,FOMO,99658,Sideways
3350,Crypto,91,Panic,28038,Correction
3351,Stocks,71,Panic,63345,Sideways
3352,Gold,4,Calm,120921,Sideways
3353,Crypto,51,Loss Aversion,207076,Correction
3354,Crypto,36,Calm,75837,Volatile
3355,Real Estate,82,Calm,102246,Volatile
3356,Gold,75,FOMO,40296,Crash
3357,Real Estate,37,Herd,138225,Crash
3358,Crypto,59,Panic,89940,Crash
3359,Crypto,100,Confirmation,217169,Correction
3360,Gold,30,FOMO,75128,Bull Run
3361,Commodities,91,Calm,369365,Bull Run
3362,Real Estate,98,Confirmation,177664,Volatile
3363,Real Estate,84,Loss Aversion,70396,Crash
3364,Gold,73,Loss Aversion,23802,Crash
3365,Bonds,76,Loss Aversion,53457,Bull Run
3366,Stocks,27,FOMO,349236,Bull Run
3367,Crypto,64,Calm,276873,Sideways
3368,Stocks,75,Herd,237182,Volatile
3369,Crypto,27,Loss Aversion,47061,Bull Run
3370,Crypto,90,Calm,310294,Sideways
3371,Commodities,81,FOMO,387464,Volatile
3372,Gold,91,Confirmation,499803,Bull Run
3373,Gold,38,Calm,213756,Volatile
3374,Stocks,90,FOMO,218458,Volatile
3375,Commodities,80,FOMO,422465,Crash
3376,Commodities,8,Loss Aversion,424330,Sideways
3377,Gold,97,Loss Aversion,51287,Sideways
3378,Real Estate,16,Confirmation,168119,Volatile
3379,Bonds,69,Panic,192187,Crash
3380,Gold,70,Confirmation,107974,Correction
3381,Crypto,91,Herd,27566,Crash
3382,Bonds,18,FOMO,495241,Volatile
3383,Gold,69,FOMO,378494,Correction
3384,Real Estate,80,Calm,410558,Sideways
3385,Gold,7,Panic,141148,Sideways
3386,Bonds,38,Panic,357143,Volatile
3387,Stocks,8,Panic,109543,Correction
3388,Gold,80,Confirmation,73741,Sideways
3389,Stocks,42,Confirmation,414588,Bull Run
3390,Gold,83,FOMO,287812,Sideways
3391,Stocks,96,FOMO,68156,Volatile
3392,Stocks,85,Loss Aversion,162741,Correction
3393,Bonds,98,Herd,27557,Correction
3394,Gold,12,Panic,470992,Volatile
3395,Real Estate,62,FOMO,229755,Sideways
3396,Gold,32,FOMO,308419,Bull Run
3397,Commodities,64,Herd,208082,Crash
3398,Stocks,6,FOMO,247060,Bull Run
3399,Gold,92,Loss Aversion,324482,Crash
3400,Stocks,45,Confirmation,29914,Sideways
3401,Crypto,73,Panic,34877,Crash
3402,Stocks,7,Loss Aversion,409290,Bull Run
3403,Bonds,55,Confirmation,136487,Volatile
3404,Bonds,37,Panic,262110,Volatile
3405,Gold,26,Confirmation,26356,Correction
3406,Crypto,30,Calm,90682,Crash
3407,Stocks,51,Loss Aversion,130694,Volatile
3408,Stocks,44,FOMO,125653,Volatile
3409,Commodities,75,Loss Aversion,197111,Bull Run
3410,Gold,34,Panic,163283,Bull Run
3411,Crypto,58,FOMO,387550,Sideways
3412,Stocks,81,Calm,273405,Crash
3413,Bonds,61,Calm,285726,Sideways
3414,Stocks,29,Confirmation,68270,Sideways
3415,Stocks,95,Herd,222445,Volatile
3416,Commodities,48,Panic,343555,Correction
3417,Gold,35,Calm,227991,Correction
3418,Commodities,62,FOMO,324199,Sideways
3419,Crypto,11,Calm,131777,Volatile
3420,Stocks,50,Herd,44967,Bull Run
3421,Bonds,10,Confirmation,324726,Correction
3422,Gold,85,FOMO,14701,Volatile
3423,Real Estate,79,Calm,496691,Volatile
3424,Commodities,64,Panic,250017,Volatile
3425,Real Estate,44,Herd,417486,Sideways
3426,Commodities,81,Confirmation,202962,Crash
3427,Real Estate,65,Confirmation,56524,Correction
3428,Bonds,48,Confirmation,357049,Bull Run
3429,Gold,8,Panic,297016,Correction
3430,Stocks,79,Panic,119860,Bull Run
3431,Bonds,46,Herd,484511,Correction
3432,Crypto,29,Confirmation,180824,Sideways
3433,Bonds,13,Panic,145330,Correction
3434,Gold,87,Confirmation,360462,Sideways
3435,Gold,84,Loss Aversion,201155,Correction
3436,Bonds,49,FOMO,482847,Volatile
3437,Stocks,62,FOMO,490649,Bull Run
3438,Commodities,33,Loss Aversion,459902,Sideways
3439,Real Estate,74,Confirmation,270775,Volatile
3440,Crypto,67,Panic,295650,Crash
3441,Stocks,66,Calm,485347,Correction
3442,Gold,93,Loss Aversion,106951,Correction
3443,Real Estate,79,FOMO,57724,Bull Run
3444,Gold,11,Calm,252624,Volatile
3445,Real Estate,18,Herd,69057,Correction
3446,Commodities,47,Loss Aversion,64337,Crash
3447,Real Estate,7,Loss Aversion,171342,Sideways
3448,Real Estate,45,Confirmation,373575,Correction
3449,Crypto,66,Herd,415063,Volatile
3450,Crypto,72,Confirmation,37285,Volatile
3451,Gold,31,Calm,105670,Crash
3452,Bonds,93,Panic,153092,Volatile
3453,Gold,100,Loss Aversion,372862,Bull Run
3454,Real Estate,5,Herd,151681,Bull Run
3455,Crypto,83,Herd,20652,Volatile
3456,Crypto,7,Confirmation,155598,Bull Run
3457,Commodities,36,Calm,61474,Crash
3458,Commodities,41,Calm,139016,Bull Run
3459,Real Estate,4,Confirmation,282326,Crash
3460,Crypto,48,Loss Aversion,15063,Crash
3461,Crypto,11,Confirmation,69993,Correction
3462,Stocks,26,Herd,109247,Bull Run
3463,Gold,26,Confirmation,335299,Correction
3464,Real Estate,79,Confirmation,94882,Bull Run
3465,Real Estate,78,Loss Aversion,233688,Correction
3466,Bonds,15,Herd,87620,Volatile
3467,Stocks,71,Herd,384133,Sideways
3468,Bonds,46,FOMO,73126,Bull Run
3469,Commodities,36,FOMO,222760,Crash
3470,Crypto,31,Panic,116063,Volatile
3471,Commodities,19,Calm,412360,Bull Run
3472,Real Estate,45,Panic,118758,Crash
3473,Gold,55,Panic,433070,Sideways
3474,Gold,65,Panic,29137,Bull Run
3475,Crypto,25,Panic,94152,Crash
3476,Real Estate,42,Herd,182294,Crash
3477,Real Estate,19,FOMO,446878,Sideways
3478,Gold,68,FOMO,455232,Volatile
3479,Gold,80,Herd,452665,Crash
3480,Crypto,94,Herd,412675,Crash
3481,Gold,13,FOMO,302872,Correction
3482,Stocks,48,Panic,31118,Sideways
3483,Crypto,75,Panic,363692,Crash
3484,Commodities,84,Calm,168513,Sideways
3485,Crypto,59,FOMO,159155,Correction
3486,Real Estate,84,Calm,425322,Sideways
3487,Bonds,20,Panic,96434,Correction
3488,Bonds,69,Calm,331459,Volatile
3489,Real Estate,56,Panic,51601,Volatile
3490,Gold,77,Panic,167248,Correction
3491,Gold,55,Calm,85792,Volatile
3492,Bonds,94,Confirmation,80574,Correction
3493,Crypto,21,Loss Aversion,220801,Volatile
3494,Gold,63,Panic,354634,Crash
3495,Real Estate,75,Calm,303280,Bull Run
3496,Crypto,98,FOMO,226672,Sideways
3497,Bonds,1,Herd,50146,Volatile
3498,Gold,68,Herd,244114,Sideways
3499,Crypto,65,Loss Aversion,261590,Volatile
3500,Bonds,44,Confirmation,106781,Sideways
3501,Crypto,4,Herd,300643,Correction
3502,Bonds,76,Calm,123341,Volatile
3503,Real Estate,50,Confirmation,388445,Correction
3504,Gold,98,Confirmation,30900,Crash
3505,Real Estate,5,FOMO,406716,Correction
3506,Stocks,100,Herd,411462,Crash
3507,Stocks,39,Loss Aversion,55531,Bull Run
3508,Commodities,44,FOMO,224676,Sideways
3509,Stocks,33,Confirmation,393728,Crash
3510,Crypto,69,Calm,83498,Volatile
3511,Gold,17,Herd,177993,Bull Run
3512,Stocks,29,Confirmation,174687,Bull Run
3513,Stocks,85,Loss Aversion,468310,Bull Run
3514,Crypto,4,Confirmation,189442,Correction
3515,Commodities,76,Calm,15303,Sideways
3516,Crypto,71,Confirmation,332833,Sideways
3517,Stocks,39,Herd,252570,Crash
3518,Crypto,20,Calm,225988,Sideways
3519,Crypto,69,FOMO,148793,Volatile
3520,Gold,42,FOMO,277829,Sideways
3521,Real Estate,60,Calm,348048,Correction
3522,Gold,59,Loss Aversion,294823,Crash
3523,Gold,60,Loss Aversion,74765,Volatile
3524,Stocks,82,Herd,453751,Crash
3525,Bonds,13,Calm,288537,Correction
3526,Commodities,50,FOMO,73682,Bull Run
3527,Bonds,7,Herd,35811,Volatile
3528,Bonds,30,Calm,484774,Sideways
3529,Crypto,11,FOMO,45801,Correction
3530,Stocks,19,Herd,118860,Volatile
3531,Bonds,4,Loss Aversion,461859,Crash
3532,Gold,96,Herd,225581,Sideways
3533,Crypto,64,Panic,409069,Sideways
3534,Bonds,79,Confirmation,152073,Sideways
3535,Crypto,9,Calm,264907,Bull Run
3536,Real Estate,32,Loss Aversion,288002,Volatile
3537,Bonds,99,Loss Aversion,124859,Sideways
3538,Bonds,71,Calm,83803,Bull Run
3539,Real Estate,38,Loss Aversion,441774,Correction
3540,Bonds,11,Loss Aversion,140193,Bull Run
3541,Bonds,19,Herd,312595,Bull Run
3542,Crypto,13,Loss Aversion,303446,Volatile
3543,Stocks,33,Herd,482126,Crash
3544,Crypto,4,Confirmation,376328,Crash
3545,Real Estate,55,Panic,443796,Correction
3546,Stocks,26,Herd,222760,Correction
3547,Gold,38,Herd,317472,Volatile
3548,Real Estate,2,FOMO,387737,Bull Run
3549,Real Estate,86,Panic,169706,Bull Run
3550,Commodities,65,FOMO,102882,Correction
3551,Commodities,63,Loss Aversion,334863,Sideways
3552,Crypto,39,Herd,397792,Crash
3553,Gold,95,Loss Aversion,116459,Volatile
3554,Gold,32,Confirmation,239708,Correction
3555,Real Estate,22,Calm,39485,Bull Run
3556,Commodities,35,Panic,378817,Correction
3557,Gold,55,Panic,234625,Correction
3558,Bonds,1,Herd,456425,Sideways
3559,Bonds,81,Confirmation,9953,Sideways
3560,Stocks,66,Confirmation,494497,Correction
3561,Commodities,92,Loss Aversion,273064,Bull Run
3562,Commodities,28,FOMO,333890,Sideways
3563,Real Estate,40,Herd,91541,Bull Run
3564,Commodities,56,FOMO,383144,Crash
3565,Bonds,19,Herd,93250,Bull Run
3566,Commodities,92,Loss Aversion,412482,Volatile
3567,Stocks,3,Calm,345951,Volatile
3568,Stocks,49,Herd,419632,Crash
3569,Stocks,97,Calm,399660,Crash
3570,Commodities,98,Loss Aversion,287933,Crash
3571,Bonds,48,Panic,440469,Crash
3572,Commodities,62,Herd,419027,Volatile
3573,Stocks,6,Loss Aversion,278356,Volatile
3574,Commodities,89,Loss Aversion,343993,Bull Run
3575,Crypto,5,Confirmation,346016,Volatile
3576,Gold,75,Loss Aversion,126800,Bull Run
3577,Real Estate,93,Panic,164250,Bull Run
3578,Crypto,86,Calm,447301,Sideways
3579,Commodities,17,Confirmation,343222,Sideways
3580,Bonds,37,FOMO,231802,Crash
3581,Gold,7,Calm,37078,Crash
3582,Real Estate,17,FOMO,248393,Volatile
3583,Commodities,44,Herd,206363,Bull Run
3584,Crypto,96,FOMO,149026,Sideways
3585,Gold,33,Confirmation,42223,Volatile
3586,Real Estate,56,Loss Aversion,469085,Crash
3587,Real Estate,36,FOMO,215715,Sideways
3588,Real Estate,88,Panic,75067,Bull Run
3589,Gold,13,Calm,220221,Volatile
3590,Crypto,100,Calm,323240,Crash
3591,Real Estate,26,FOMO,365355,Crash
3592,Commodities,68,Panic,76553,Bull Run
3593,Gold,34,Calm,148883,Crash
3594,Bonds,4,Confirmation,167550,Bull Run
3595,Stocks,56,Calm,163654,Volatile
3596,Real Estate,28,Confirmation,449969,Bull Run
3597,Crypto,77,Loss Aversion,407179,Sideways
3598,Real Estate,79,FOMO,77505,Crash
3599,Real Estate,39,Herd,317880,Correction
3600,Stocks,96,Panic,8335,Sideways
3601,Commodities,42,Loss Aversion,231685,Crash
3602,Bonds,70,Panic,442149,Volatile
3603,Bonds,90,Loss Aversion,297769,Correction
3604,Gold,69,Confirmation,26121,Sideways
3605,Commodities,84,Herd,83687,Correction
3606,Stocks,70,Panic,428725,Bull Run
3607,Crypto,94,Calm,209610,Bull Run
3608,Stocks,99,Calm,147826,Volatile
3609,Stocks,26,Panic,287432,Volatile
3610,Real Estate,14,Herd,493053,Bull Run
3611,Crypto,64,Loss Aversion,479256,Bull Run
3612,Gold,63,Panic,327075,Volatile
3613,Gold,8,Confirmation,317426,Sideways
3614,Gold,18,Loss Aversion,155790,Bull Run
3615,Commodities,87,Confirmation,331647,Bull Run
3616,Bonds,37,Herd,335673,Bull Run
3617,Crypto,47,Confirmation,329652,Correction
3618,Real Estate,74,Panic,295472,Crash
3619,Bonds,100,FOMO,422052,Crash
3620,Commodities,33,Herd,95150,Correction
3621,Stocks,100,Loss Aversion,218884,Volatile
3622,Commodities,28,Confirmation,39699,Bull Run
3623,Bonds,5,Calm,357953,Volatile
3624,Stocks,81,Loss Aversion,167581,Volatile
3625,Crypto,69,Calm,319146,Crash
3626,Stocks,12,FOMO,57198,Correction
3627,Stocks,91,Loss Aversion,99902,Bull Run
3628,Commodities,71,Panic,205962,Volatile
3629,Real Estate,20,Panic,216270,Correction
3630,Real Estate,19,Herd,23389,Correction
3631,Crypto,95,Herd,209213,Crash
3632,Crypto,5,Herd,427288,Sideways
3633,Real Estate,15,Herd,444820,Correction
3634,Gold,24,Calm,426746,Volatile
3635,Real Estate,76,FOMO,397043,Correction
3636,Commodities,32,Loss Aversion,89237,Crash
3637,Crypto,94,Panic,365064,Volatile
3638,Real Estate,84,Calm,145433,Sideways
3639,Stocks,52,FOMO,420114,Crash
3640,Commodities,93,Loss Aversion,103177,Sideways
3641,Crypto,18,Herd,16939,Crash
3642,Crypto,81,Herd,429749,Volatile
3643,Real Estate,28,Calm,321071,Correction
3644,Crypto,57,Loss Aversion,178078,Sideways
3645,Commodities,26,Calm,276854,Sideways
3646,Commodities,82,Panic,454052,Volatile
3647,Bonds,26,FOMO,172409,Crash
3648,Gold,76,Calm,55658,Crash
3649,Bonds,46,Loss Aversion,419904,Correction
3650,Commodities,71,Confirmation,190173,Correction
3651,Real Estate,64,Calm,390612,Sideways
3652,Commodities,41,Calm,277784,Crash
3653,Real Estate,44,Panic,394926,Correction
3654,Commodities,18,Loss Aversion,492863,Volatile
3655,Commodities,19,Herd,289692,Sideways
3656,Stocks,37,Confirmation,455007,Sideways
3657,Stocks,14,FOMO,347655,Correction
3658,Real Estate,13,Calm,130285,Volatile
3659,Gold,80,Confirmation,93155,Volatile
3660,Gold,28,Confirmation,486821,Bull Run
3661,Gold,19,Confirmation,352373,Crash
3662,Crypto,72,Calm,159574,Crash
3663,Gold,15,Calm,457683,Crash
3664,Real Estate,12,Loss Aversion,238353,Correction
3665,Gold,85,Loss Aversion,249066,Crash
3666,Gold,38,Confirmation,101211,Crash
3667,Commodities,13,Calm,47016,Volatile
3668,Gold,23,Confirmation,288460,Bull Run
3669,Real Estate,53,Loss Aversion,466848,Volatile
3670,Commodities,54,Confirmation,168712,Correction
3671,Stocks,61,Confirmation,67997,Sideways
3672,Crypto,1,FOMO,108350,Sideways
3673,Crypto,17,Panic,359731,Bull Run
3674,Stocks,75,Confirmation,228873,Volatile
3675,Stocks,18,Confirmation,461841,Crash
3676,Real Estate,79,Confirmation,377045,Volatile
3677,Bonds,1,FOMO,75953,Bull Run
3678,Real Estate,95,Loss Aversion,481582,Sideways
3679,Bonds,56,FOMO,370142,Sideways
3680,Gold,27,Panic,109679,Volatile
