id,username,level,xp_points,badge,score
3040,Nova,7,4450,Platinum,26.71
3041,Nova,42,1923,Platinum,63.47
3042,Sigma,7,3816,Bronze,19.85
3043,Charlie,4,708,Gold,68.95
3044,Bravo,15,1967,Platinum,77.83
3045,Echo,11,3627,None,2.82
3046,Zeta,50,3461,Platinum,66.05
3047,Foxtrot,14,1999,None,24.88
3048,Alpha,32,899,Silver,92.15
3049,Charlie,45,246,Gold,77.19
3050,Bravo,45,1272,Gold,80.08
3051,Zeta,36,3242,Silver,74.4
3052,Delta,20,1144,Gold,78.32
3053,Zeta,12,4940,None,91.94
3054,Zeta,16,2120,Gold,17.53
3055,Foxtrot,39,3277,Platinum,13.99
3056,Gamma,49,1218,Bronze,96.39
3057,Echo,17,2749,Silver,25.6
3058,Sigma,38,4284,Platinum,12.48
3059,Echo,4,1751,Bronze,75.04
3060,Nova,12,3001,None,8.32
3061,Bravo,47,131,Bronze,29.8
3062,Charlie,20,3215,None,9.96
3063,Foxtrot,42,3561,Platinum,55.39
3064,Charlie,28,1138,Platinum,36.16
3065,Bravo,29,2746,Bronze,17.05
3066,Echo,8,2094,Silver,17.67
3067,Echo,21,4677,Platinum,88.04
3068,Foxtrot,20,878,Platinum,26.81
3069,Sigma,25,1138,Bronze,73.93
3070,Zeta,10,3187,Silver,4.79
3071,Zeta,35,2170,Bronze,73.31
3072,Zeta,25,735,Silver,43.17
3073,Alpha,49,304,Platinum,49.45
3074,Echo,9,1156,Platinum,83.53
3075,Nova,3,2849,Silver,58.83
3076,Charlie,27,454,Silver,14.2
3077,Zeta,42,801,None,59.98
3078,Alpha,38,4918,None,13.99
3079,Bravo,34,4269,Bronze,87.96
3080,Foxtrot,31,3483,Gold,22.98
3081,Nova,1,3452,Gold,30.79
3082,Bravo,40,2540,Gold,69.0
3083,Zeta,15,2132,Bronze,5.93
3084,Gamma,29,1231,Bronze,78.8
3085,Nova,11,735,None,7.06
3086,Echo,39,2847,Bronze,83.03
3087,Echo,17,1280,Platinum,54.02
3088,Nova,11,1951,Silver,8.14
3089,Nova,11,1299,Silver,71.15
3090,Foxtrot,47,3534,Silver,10.34
3091,Alpha,21,2602,Gold,57.5
3092,Zeta,39,4377,None,1.79
3093,Echo,14,4271,Platinum,96.91
3094,Charlie,19,3339,Gold,17.06
3095,Alpha,19,4589,None,64.13
3096,Nova,1,4820,Gold,71.03
3097,Alpha,13,379,None,49.04
3098,Bravo,22,2689,Silver,62.11
3099,Delta,24,233,Silver,63.51
3100,Gamma,16,640,Silver,53.21
3101,Echo,38,2781,None,66.8
3102,Echo,38,203,None,40.58
3103,Nova,44,4830,Silver,53.95
3104,Sigma,13,4853,None,0.96
3105,Zeta,4,4656,Gold,4.83
3106,Delta,1,191,Gold,90.05
3107,Sigma,41,499,Platinum,83.96
3108,Bravo,26,219,Platinum,74.23
3109,Echo,23,2891,None,74.23
3110,Charlie,21,2405,Platinum,77.4
3111,Gamma,7,2650,None,45.66
3112,Foxtrot,17,4609,None,10.85
3113,Alpha,21,3602,None,63.96
3114,Sigma,1,982,Platinum,35.69
3115,Echo,42,3569,Bronze,99.11
3116,Zeta,47,646,Bronze,79.15
3117,Bravo,12,3000,Platinum,82.83
3118,Charlie,15,280,Bronze,94.16
3119,Nova,4,3147,Platinum,76.68
3120,Echo,11,2098,None,29.31
3121,Charlie,49,4024,Bronze,72.11
3122,Foxtrot,50,1189,Bronze,93.95
3123,Nova,31,344,Gold,5.84
3124,Zeta,37,3986,Platinum,95.69
3125,Echo,29,3369,Gold,36.49
3126,Charlie,2,4109,Platinum,58.57
3127,Echo,21,3359,Bronze,71.38
3128,Nova,12,3705,Bronze,18.39
3129,Nova,24,2311,Platinum,8.57
3130,Echo,2,2296,Platinum,0.61
3131,Zeta,28,3516,None,74.4
3132,Zeta,39,2852,Gold,14.92
3133,Alpha,22,1026,None,71.47
3134,Nova,9,2299,Silver,25.84
3135,Zeta,34,3744,Bronze,68.47
3136,Zeta,14,1529,None,0.82
3137,Charlie,17,3886,Silver,27.62
3138,Delta,5,1985,Gold,30.8
3139,Echo,14,1657,Bronze,0.56
3140,Delta,21,4475,Gold,10.21
3141,Echo,37,9,Gold,19.82
3142,Nova,8,2121,Platinum,91.48
3143,Alpha,33,424,Gold,34.46
3144,Sigma,16,988,Bronze,22.5
3145,Delta,11,2825,None,73.93
3146,Nova,14,4600,Platinum,14.39
3147,Foxtrot,34,4225,Gold,76.11
3148,Sigma,34,285,Silver,11.45
3149,Charlie,15,3161,None,45.26
3150,Echo,13,455,Silver,83.71
3151,Sigma,46,3202,Gold,76.3
3152,Sigma,21,4024,Silver,91.07
3153,Alpha,30,2321,Silver,27.44
3154,Delta,3,208,Gold,76.3
3155,Nova,25,2801,Platinum,48.0
3156,Delta,27,2718,Bronze,58.76
3157,Bravo,35,136,None,0.31
3158,Echo,28,3643,Bronze,98.92
3159,Zeta,15,3365,Platinum,95.08
3160,Zeta,26,408,Bronze,10.95
3161,Alpha,37,4875,None,75.6
3162,Echo,14,4521,Gold,24.72
3163,Alpha,12,3797,Platinum,4.52
3164,Echo,16,457,None,81.16
3165,Echo,47,1565,Silver,26.48
3166,Gamma,14,2274,Bronze,79.55
3167,Gamma,24,4952,Bronze,37.97
3168,Echo,1,2268,Gold,98.51
3169,Gamma,30,1173,Platinum,68.17
3170,Alpha,29,3213,Silver,78.92
3171,Zeta,16,1797,Silver,74.24
3172,Bravo,3,2975,None,41.85
3173,Foxtrot,7,3675,None,46.56
3174,Echo,22,4024,Gold,57.91
3175,Alpha,32,4623,Bronze,94.25
3176,Bravo,6,1600,Platinum,31.98
3177,Charlie,7,813,None,85.88
3178,Bravo,10,631,None,69.99
3179,Sigma,16,2241,Silver,20.94
3180,Charlie,34,820,Platinum,20.88
3181,Alpha,23,1167,Bronze,22.32
3182,Zeta,21,2222,None,65.49
3183,Gamma,49,1092,Gold,21.22
3184,Foxtrot,4,4767,Silver,1.49
3185,Nova,9,3098,None,95.69
3186,Sigma,18,795,Bronze,66.67
3187,Sigma,43,569,Bronze,59.19
3188,Zeta,44,102,Bronze,61.76
3189,Sigma,2,4095,None,96.74
3190,Sigma,4,1732,None,66.35
3191,Alpha,46,4721,Bronze,18.59
3192,Echo,47,1347,Bronze,65.71
3193,Alpha,16,3135,Bronze,79.52
3194,Echo,20,2848,Platinum,63.4
3195,Sigma,23,2462,Gold,62.26
3196,Zeta,30,2991,Silver,63.48
3197,Echo,50,644,None,95.99
3198,Gamma,22,2626,Gold,73.39
3199,Delta,30,922,Platinum,5.42
3200,Zeta,25,3112,Silver,80.32
3201,Alpha,17,40,Bronze,71.52
3202,Alpha,8,1480,None,66.56
3203,Zeta,36,4333,Bronze,41.56
3204,Charlie,14,3333,None,12.66
3205,Bravo,2,1065,Silver,86.23
3206,Echo,34,4682,Gold,10.95
3207,Delta,31,4752,Platinum,68.09
3208,Sigma,26,534,Silver,17.88
3209,Delta,3,2795,None,12.05
3210,Echo,18,2117,Platinum,75.55
3211,Nova,14,4182,Gold,51.13
3212,Bravo,4,1279,None,90.12
3213,Zeta,12,2202,Silver,94.84
3214,Nova,23,3603,Silver,76.32
3215,Nova,48,2808,Platinum,85.98
3216,Charlie,34,2226,Platinum,35.15
3217,Echo,48,1356,Bronze,76.68
3218,Alpha,26,2478,Silver,72.25
3219,Nova,29,4568,None,70.9
3220,Delta,4,3439,Gold,43.11
3221,Gamma,8,1516,Silver,3.79
3222,Delta,38,245,Silver,98.98
3223,Delta,21,1409,Gold,27.66
3224,Delta,2,1716,Platinum,15.84
3225,Foxtrot,44,2543,None,31.03
3226,Bravo,12,855,None,61.24
3227,Nova,15,2423,Bronze,17.59
3228,Bravo,13,2930,Gold,23.51
3229,Bravo,49,153,Bronze,20.53
3230,Bravo,17,3502,Bronze,86.41
3231,Echo,17,2927,None,34.64
3232,Sigma,24,553,Bronze,64.88
3233,Delta,8,160,Platinum,13.84
3234,Sigma,20,3198,Silver,8.22
3235,Gamma,50,1620,None,85.71
3236,Alpha,28,2475,Platinum,59.59
3237,Gamma,28,1698,Platinum,20.24
3238,Gamma,32,1244,Bronze,76.34
3239,Foxtrot,36,4009,Gold,18.66
3240,Zeta,50,173,Platinum,15.2
3241,Charlie,45,3761,Gold,19.55
3242,Sigma,40,4184,Silver,96.5
3243,Bravo,33,287,Platinum,4.9
3244,Alpha,23,4941,Bronze,58.44
3245,Alpha,3,1877,Platinum,86.05
3246,Zeta,29,2152,Bronze,10.53
3247,Foxtrot,44,955,None,69.27
3248,Sigma,1,741,Bronze,62.32
3249,Alpha,28,2521,Silver,85.8
3250,Alpha,29,4967,Silver,70.37
3251,Delta,45,3424,Platinum,23.23
3252,Sigma,28,4990,Silver,36.01
3253,Delta,1,3652,Platinum,21.95
3254,Delta,25,1281,Bronze,16.95
3255,Delta,11,527,Gold,99.42
3256,Delta,47,2730,Gold,50.07
3257,Charlie,7,2476,None,41.53
3258,Foxtrot,22,1901,None,53.73
3259,Delta,33,18,Gold,69.78
3260,Gamma,3,3238,Gold,75.73
3261,Bravo,27,4155,Gold,96.22
3262,Charlie,35,2947,Gold,7.94
3263,Zeta,44,1629,Silver,31.45
3264,Gamma,35,3843,None,16.76
3265,Sigma,45,4243,Bronze,15.34
3266,Zeta,12,4828,None,39.93
3267,Alpha,41,4788,Silver,18.42
3268,Gamma,38,2523,Bronze,59.33
3269,Alpha,19,4677,Gold,15.13
3270,Charlie,40,3642,Platinum,35.87
3271,Nova,20,293,Gold,94.19
3272,Zeta,17,4482,Platinum,23.95
3273,Bravo,12,4820,Silver,59.71
3274,Nova,4,4616,Bronze,67.25
3275,Gamma,5,2507,Bronze,8.69
3276,Charlie,3,3681,Bronze,77.87
3277,Zeta,31,2170,Platinum,16.86
3278,Echo,25,1221,Gold,57.82
3279,Alpha,48,3746,Bronze,15.54
3280,Charlie,6,2188,Bronze,47.87
3281,Delta,1,1439,Gold,92.28
3282,Alpha,15,3309,None,13.01
3283,Foxtrot,46,3724,Bronze,63.24
3284,Sigma,3,2939,Gold,63.92
3285,Bravo,33,1043,None,77.74
3286,Foxtrot,6,1378,Bronze,33.05
3287,Sigma,36,4005,Bronze,21.79
3288,Foxtrot,5,1015,Silver,60.47
3289,Bravo,18,4666,Gold,15.29
3290,Bravo,19,1752,Silver,7.84
3291,Foxtrot,34,1229,Gold,81.07
3292,Sigma,3,490,Platinum,98.68
3293,Gamma,45,3117,Gold,59.15
3294,Delta,11,3805,Bronze,61.84
3295,Charlie,25,2022,Platinum,13.63
3296,Zeta,37,3926,Silver,24.52
3297,Gamma,38,3802,Gold,80.39
3298,Alpha,6,2411,Bronze,30.33
3299,Bravo,50,2622,Platinum,76.66
3300,Echo,3,2702,Bronze,64.3
3301,Foxtrot,43,3206,Gold,88.1
3302,Gamma,21,4743,Silver,80.5
3303,Gamma,16,3519,Bronze,28.47
3304,Gamma,50,4005,Gold,25.87
3305,Charlie,19,3098,Silver,75.52
3306,Delta,34,3983,Bronze,22.38
3307,Charlie,21,4110,Bronze,99.58
3308,Nova,2,546,Silver,47.44
3309,Alpha,14,3772,Silver,33.8
3310,Alpha,41,1300,None,20.92
3311,Delta,27,2616,None,16.15
3312,Sigma,13,3445,Platinum,32.57
3313,Zeta,14,3527,None,7.19
3314,Gamma,32,4677,Gold,24.83
3315,Delta,26,3602,Platinum,59.62
3316,Foxtrot,38,4061,Bronze,89.96
3317,Zeta,11,1849,Gold,96.25
3318,Delta,2,1305,Platinum,72.27
3319,Gamma,42,2790,Platinum,59.6
3320,Nova,41,983,Bronze,46.08
3321,Bravo,20,1220,Bronze,36.76
3322,Alpha,32,3080,Platinum,57.5
3323,Bravo,15,893,Bronze,54.56
3324,Sigma,1,230,None,18.73
3325,Zeta,35,258,Bronze,70.52
3326,Nova,4,3825,Bronze,32.79
3327,Nova,14,724,Gold,18.52
3328,Zeta,9,1595,None,25.47
3329,Gamma,23,4788,Bronze,35.65
3330,Alpha,16,4417,Silver,91.29
3331,Echo,41,4878,Gold,55.05
3332,Delta,29,3588,None,15.31
3333,Alpha,9,502,None,47.87
3334,Sigma,32,3872,None,89.98
3335,Zeta,3,703,None,88.43
3336,Alpha,2,2015,Bronze,86.62
3337,Alpha,37,861,Bronze,95.14
3338,Bravo,27,2245,Bronze,8.78
3339,Gamma,15,2317,Gold,68.15
3340,Foxtrot,39,4808,Gold,33.01
3341,Delta,42,2120,Silver,96.24
3342,Sigma,5,508,Bronze,72.46
3343,Foxtrot,50,1024,Bronze,85.49
3344,Gamma,35,498,Bronze,44.68
3345,Bravo,43,4607,None,78.27
3346,Bravo,46,2172,Platinum,21.64
3347,Nova,30,582,None,81.46
3348,Gamma,41,4161,Gold,0.91
3349,Charlie,46,4750,Platinum,19.2
3350,Bravo,22,4943,Bronze,86.32
3351,Echo,41,4493,Platinum,76.26
3352,Bravo,8,4449,Silver,34.07
3353,Zeta,16,1763,Silver,15.21
3354,Gamma,33,4359,Gold,10.64
3355,Sigma,43,3418,Platinum,32.53
3356,Bravo,11,2209,None,70.81
3357,Echo,16,1753,Platinum,97.44
3358,Alpha,42,2322,None,10.41
3359,Echo,10,1516,Bronze,48.29
3360,Zeta,49,1330,None,57.47
3361,Foxtrot,22,714,Bronze,45.28
3362,Sigma,6,4298,Gold,39.7
3363,Foxtrot,8,19,Silver,20.07
3364,Foxtrot,14,2886,Platinum,51.44
3365,Bravo,28,1566,Silver,59.99
3366,Gamma,33,201,Platinum,40.63
3367,Alpha,44,2059,Platinum,60.91
3368,Nova,33,2301,Bronze,17.73
3369,Charlie,22,694,None,62.73
3370,Zeta,37,3904,Bronze,83.87
3371,Zeta,7,332,Gold,3.92
3372,Nova,9,3916,Gold,73.44
3373,Foxtrot,49,4152,Platinum,68.32
3374,Nova,35,4944,None,99.24
3375,Alpha,24,1109,Platinum,88.79
3376,Delta,19,702,Silver,25.76
3377,Sigma,5,4391,None,67.27
3378,Nova,28,2061,Platinum,9.65
3379,Sigma,24,174,Gold,49.46
3380,Gamma,37,1539,None,77.27
3381,Foxtrot,11,4223,Gold,71.32
3382,Nova,7,977,Bronze,5.43
3383,Charlie,13,3619,Silver,3.12
3384,Foxtrot,20,2581,Platinum,41.39
3385,Bravo,33,4315,Gold,89.27
3386,Sigma,45,406,Gold,39.85
3387,Charlie,41,3954,None,54.53
3388,Alpha,7,3280,Gold,35.31
3389,Foxtrot,22,133,Silver,18.92
3390,Alpha,15,1317,Bronze,30.11
3391,Gamma,18,4631,Silver,87.98
3392,Zeta,39,3915,Platinum,42.17
3393,Sigma,2,215,None,46.63
3394,Foxtrot,34,3045,Bronze,95.38
3395,Delta,6,3358,Bronze,31.05
3396,Sigma,25,4481,None,86.12
3397,Bravo,37,4432,Silver,25.97
3398,Alpha,15,2225,None,38.43
3399,Charlie,23,1841,Bronze,19.58
3400,Echo,42,1134,Bronze,80.89
3401,Nova,38,994,Bronze,90.85
3402,Delta,43,45,Silver,20.69
3403,Delta,6,1989,Gold,80.33
3404,Delta,5,1035,Platinum,56.67
3405,Sigma,4,3442,Silver,99.71
3406,Foxtrot,29,495,Gold,57.61
3407,Foxtrot,42,4286,Platinum,79.88
3408,Bravo,28,4723,Gold,88.67
3409,Sigma,31,2340,None,61.31
3410,Zeta,31,977,Silver,65.0
3411,Delta,28,3311,Gold,60.83
3412,Delta,4,4473,Gold,47.31
3413,Charlie,42,4321,Gold,42.99
3414,Alpha,23,2035,Silver,70.13
3415,Nova,7,1008,Platinum,59.31
3416,Delta,29,4387,Bronze,51.29
3417,Sigma,50,2296,Bronze,82.8
3418,Gamma,30,3719,Silver,50.4
3419,Foxtrot,23,1221,None,58.2
3420,Sigma,14,974,Gold,27.47
3421,Zeta,39,604,Platinum,9.15
3422,Echo,5,3118,Silver,33.07
3423,Bravo,6,1867,None,10.38
3424,Echo,16,3573,Bronze,2.3
3425,Sigma,2,35,Bronze,35.73
3426,Charlie,4,1649,Bronze,43.69
3427,Sigma,37,698,Platinum,16.1
3428,Charlie,26,1232,Gold,94.54
3429,Zeta,24,2339,Bronze,54.31
3430,Sigma,15,4762,Bronze,66.62
3431,Nova,9,4363,None,36.75
3432,Bravo,17,3351,Bronze,92.73
3433,Foxtrot,40,246,Gold,64.94
3434,Delta,3,429,Platinum,45.58
3435,Delta,29,199,Bronze,0.27
3436,Foxtrot,39,1509,None,99.59
3437,Bravo,14,1735,None,65.7
3438,Nova,20,3131,Bronze,58.63
3439,Delta,42,4571,Gold,28.96
3440,Nova,8,21,Platinum,59.8
3441,Sigma,8,4181,None,7.08
3442,Foxtrot,18,1549,None,94.75
3443,Zeta,37,755,Bronze,91.31
3444,Echo,4,863,Bronze,22.36
3445,Zeta,14,4969,Platinum,4.14
3446,Echo,12,3758,Bronze,34.75
3447,Charlie,13,2622,None,60.87
3448,Gamma,1,3152,None,95.02
3449,Alpha,12,579,None,7.31
3450,Foxtrot,26,150,None,85.46
3451,Gamma,23,3372,None,2.44
3452,Charlie,25,1132,Gold,67.55
3453,Bravo,18,468,Silver,67.51
3454,Zeta,44,3506,None,68.7
3455,Bravo,28,4206,Gold,57.03
3456,Nova,41,2438,Platinum,5.28
3457,Alpha,41,2780,Bronze,97.68
3458,Delta,4,777,None,48.91
3459,Zeta,50,3671,None,96.67
3460,Sigma,39,884,Bronze,95.12
3461,Echo,13,383,Gold,5.54
3462,Bravo,42,480,Platinum,7.82
3463,Alpha,32,951,Platinum,21.79
3464,Sigma,4,4083,Gold,32.77
3465,Zeta,10,4792,Gold,28.2
3466,Echo,13,395,Platinum,52.89
3467,Charlie,3,1465,Silver,30.78
3468,Echo,2,252,Gold,20.0
3469,Sigma,40,2155,Silver,51.63
3470,Foxtrot,19,3898,Silver,36.06
3471,Sigma,39,3395,Gold,72.92
3472,Foxtrot,12,4131,Platinum,85.05
3473,Foxtrot,44,4296,Gold,36.7
3474,Gamma,33,4295,Bronze,29.41
3475,Gamma,2,436,Bronze,80.89
3476,Foxtrot,20,1490,None,39.2
3477,Sigma,3,4573,Bronze,78.11
3478,Sigma,33,1618,Bronze,37.49
3479,Foxtrot,7,1149,Bronze,30.81
3480,Gamma,2,3868,Bronze,21.4
3481,Zeta,22,3936,Silver,13.63
3482,Delta,43,2735,Gold,57.7
3483,Nova,50,643,Bronze,68.65
3484,Foxtrot,4,206,Silver,86.06
3485,Foxtrot,46,3628,Silver,19.92
3486,Sigma,49,1312,Silver,17.25
3487,Sigma,38,1072,None,81.84
3488,Charlie,32,1843,Platinum,30.86
3489,Charlie,1,3597,Platinum,53.61
3490,Zeta,41,947,None,52.41
3491,Zeta,24,2401,Silver,54.83
3492,Sigma,12,2624,Gold,90.03
3493,Charlie,32,746,Silver,7.46
3494,Nova,33,2734,Gold,8.25
3495,Foxtrot,33,3531,Platinum,94.65
3496,Delta,50,1022,Gold,33.48
3497,Echo,46,3603,Bronze,8.24
3498,Nova,45,494,Silver,73.29
3499,Zeta,30,2762,Silver,32.13
3500,Sigma,34,2753,Gold,27.14
3501,Nova,47,1137,Silver,45.14
3502,Alpha,30,4850,Bronze,31.47
3503,Foxtrot,29,4937,Silver,6.36
3504,Alpha,41,2961,Silver,94.9
3505,Delta,36,4812,None,93.84
3506,Alpha,7,3770,Bronze,96.15
3507,Gamma,25,2096,Silver,71.31
3508,Echo,49,4105,None,75.21
3509,Foxtrot,21,4531,Gold,64.6
3510,Foxtrot,47,4383,Platinum,88.82
3511,Nova,43,2364,Gold,61.99
3512,Gamma,45,545,None,27.6
3513,Gamma,4,755,None,12.88
3514,Echo,40,670,Gold,93.49
3515,Echo,50,641,Gold,23.25
3516,Sigma,21,3527,Gold,83.49
3517,Delta,36,2541,Platinum,56.03
3518,Charlie,33,2894,Gold,38.92
3519,Echo,2,4282,None,34.0
3520,Foxtrot,42,253,None,92.5
3521,Alpha,11,1743,Bronze,85.94
3522,Foxtrot,39,97,Platinum,7.36
3523,Alpha,29,3684,Bronze,29.57
3524,Echo,10,758,Gold,85.05
3525,Gamma,8,3204,Platinum,11.93
3526,Charlie,38,2903,Platinum,53.6
3527,Echo,41,4783,Silver,29.8
3528,Delta,20,4161,None,61.94
3529,Gamma,46,4164,None,2.84
3530,Echo,24,3269,Bronze,95.48
3531,Charlie,14,3729,Gold,57.68
3532,Zeta,4,3896,Silver,80.28
3533,Zeta,17,3287,Platinum,21.84
3534,Sigma,4,3404,Bronze,55.96
3535,Bravo,7,2352,Bronze,11.52
3536,Sigma,36,1170,Gold,15.28
3537,Delta,11,596,Silver,38.06
3538,Delta,47,4503,Silver,45.63
3539,Nova,19,3402,None,53.06
3540,Sigma,27,424,Platinum,84.25
3541,Gamma,41,3990,Bronze,14.81
3542,Alpha,45,1126,Gold,39.96
3543,Foxtrot,42,582,Bronze,76.55
3544,Bravo,36,2368,Platinum,77.51
3545,Gamma,21,2887,None,73.3
3546,Foxtrot,18,4183,Platinum,60.71
3547,Bravo,28,1049,Bronze,16.01
3548,Gamma,6,2436,Gold,32.06
3549,Echo,29,4618,Gold,36.09
3550,Alpha,42,437,Gold,36.78
3551,Bravo,46,1947,Bronze,8.8
3552,Bravo,11,2094,None,88.53
3553,Echo,21,4050,Gold,10.82
3554,Nova,32,86,Platinum,82.79
3555,Alpha,3,760,None,13.75
3556,Nova,16,793,Gold,57.49
3557,Gamma,38,949,None,31.7
3558,Gamma,8,2717,Gold,80.33
3559,Zeta,12,1966,Platinum,6.85
3560,Bravo,14,926,Gold,60.84
3561,Alpha,11,496,Gold,29.34
3562,Alpha,39,437,Bronze,37.99
3563,Delta,33,1432,Platinum,5.39
3564,Bravo,19,3197,Platinum,5.08
3565,Alpha,42,1429,None,36.4
3566,Charlie,8,4133,Bronze,63.65
3567,Gamma,2,1164,Bronze,46.6
3568,Bravo,18,3634,None,88.23
3569,Alpha,33,1386,None,17.8
3570,Zeta,49,2144,Gold,23.3
3571,Charlie,41,83,Gold,25.0
3572,Alpha,18,2922,None,50.76
3573,Zeta,14,4388,None,34.54
3574,Foxtrot,2,2883,None,50.4
3575,Bravo,26,354,None,50.73
3576,Delta,37,1615,Bronze,79.82
3577,Alpha,26,4796,None,31.03
3578,Gamma,30,3491,Platinum,29.21
3579,Charlie,17,3088,Silver,46.52
3580,Sigma,28,2133,Bronze,66.36
3581,Delta,50,988,Platinum,14.03
3582,Alpha,21,2697,Platinum,90.38
3583,Charlie,24,4592,Platinum,46.28
3584,Foxtrot,47,3912,Gold,7.5
3585,Zeta,32,4534,Platinum,62.24
3586,Alpha,21,536,Platinum,67.23
3587,Delta,42,2871,Bronze,48.44
3588,Sigma,9,476,Gold,72.04
3589,Alpha,36,4438,None,47.72
3590,Gamma,6,4794,Silver,59.99
3591,Gamma,42,126,Gold,91.23
3592,Bravo,34,2371,Silver,35.14
3593,Nova,12,519,Bronze,19.76
3594,Charlie,45,3067,Silver,95.56
3595,Gamma,3,2269,None,60.71
3596,Charlie,49,2169,None,99.73
3597,Sigma,12,1101,Platinum,43.44
3598,Charlie,50,313,Silver,81.67
3599,Alpha,42,3771,Gold,37.53
3600,Gamma,28,1594,None,65.37
3601,Nova,31,1929,Silver,34.24
3602,Gamma,46,4143,Bronze,63.9
3603,Nova,4,4897,Bronze,38.0
3604,Echo,38,3113,Gold,16.74
3605,Gamma,39,1294,Silver,61.91
3606,Zeta,16,2442,Silver,22.03
3607,Gamma,44,2799,None,55.82
3608,Charlie,14,68,Silver,14.53
3609,Foxtrot,18,4358,Gold,59.12
3610,Charlie,46,4067,Platinum,73.44
3611,Zeta,25,2345,Bronze,55.04
3612,Delta,7,199,Gold,0.17
3613,Charlie,46,3894,Gold,37.08
3614,Charlie,43,512,Gold,72.86
3615,Sigma,40,709,Gold,47.86
3616,Bravo,21,4929,None,54.43
3617,Bravo,28,589,Platinum,95.26
3618,Delta,21,1526,Silver,29.18
3619,Alpha,27,2568,Platinum,93.92
3620,Nova,47,2232,Gold,73.61
3621,Bravo,50,70,None,38.14
3622,Bravo,21,726,Silver,85.28
3623,Gamma,40,3252,Gold,48.98
3624,Echo,48,1100,Bronze,40.89
3625,Nova,17,1869,Platinum,60.25
3626,Delta,9,2839,Bronze,5.95
3627,Foxtrot,8,4347,Bronze,93.25
3628,Echo,48,1811,Silver,88.77
3629,Bravo,2,1494,Silver,87.54
3630,Foxtrot,12,2915,Silver,92.99
3631,Gamma,33,203,Platinum,88.27
3632,Foxtrot,11,1654,Platinum,14.59
3633,Nova,29,4997,Silver,37.61
3634,Zeta,38,3033,Bronze,72.83
3635,Delta,23,4362,Silver,90.72
3636,Nova,6,1905,Gold,73.74
3637,Bravo,5,1090,Silver,20.6
3638,Echo,46,3854,Platinum,92.58
3639,Foxtrot,24,2987,Gold,39.1
3640,Delta,41,3228,Silver,4.56
3641,Zeta,47,3609,Bronze,93.52
3642,Gamma,24,1361,None,6.99
3643,Echo,26,2439,Platinum,88.7
3644,Zeta,23,2880,Silver,24.17
3645,Zeta,21,997,Bronze,18.39
3646,Alpha,38,280,Silver,46.34
3647,Alpha,36,3157,Bronze,50.22
3648,Foxtrot,40,1639,Bronze,49.69
3649,Alpha,24,4769,Bronze,1.0
3650,Zeta,14,46,Platinum,85.63
3651,Zeta,20,2972,Platinum,1.38
3652,Charlie,24,837,Silver,63.71
3653,Bravo,37,1013,None,48.28
3654,Delta,4,1473,Silver,12.13
3655,Echo,49,164,Bronze,28.18
3656,Sigma,45,1612,Platinum,8.34
3657,Nova,16,394,None,59.43
3658,Bravo,36,4163,Silver,69.25
3659,Echo,12,650,Gold,58.14
3660,Delta,3,283,Silver,11.08
3661,Nova,21,1533,Gold,12.97
3662,Gamma,50,2124,Gold,71.3
3663,Echo,3,2895,Platinum,75.94
3664,Bravo,42,2222,Gold,54.29
3665,Gamma,38,2407,Silver,27.69
3666,Charlie,28,1177,Silver,70.27
3667,Delta,2,3646,Gold,0.2
3668,Zeta,43,1931,Gold,39.2
3669,Alpha,14,3928,Silver,76.87
3670,Echo,35,2073,Gold,76.37
3671,Nova,13,3653,Bronze,8.01
3672,Charlie,20,408,None,39.32
3673,Echo,27,3003,Platinum,30.6
3674,Charlie,13,1607,Platinum,23.36
3675,Foxtrot,21,3550,None,14.71
3676,Echo,16,2055,Silver,39.04
3677,Nova,15,1872,Silver,22.74
3678,Echo,4,2190,None,33.17
3679,Alpha,7,1291,Gold,40.43
3680,Zeta,45,400,Bronze,64.86
3681,Zeta,45,1251,Platinum,18.16
3682,Sigma,1,4479,Silver,5.95
3683,Foxtrot,14,1807,Silver,99.24
3684,Nova,12,376,None,61.88
3685,Foxtrot,41,261,Silver,2.75
3686,Delta,24,3814,Silver,13.08
3687,Nova,31,497,None,69.54
3688,Charlie,20,3797,Platinum,73.69
3689,Echo,49,3335,Gold,87.63
3690,Charlie,38,2980,Platinum,15.64
3691,Sigma,30,39,Bronze,30.66
3692,Gamma,19,2888,Platinum,88.34
3693,Foxtrot,3,910,Gold,28.94
3694,Echo,40,1744,Silver,0.1
3695,Sigma,1,4565,Silver,51.52
3696,Nova,14,4202,Gold,89.15
3697,Charlie,5,1864,Gold,3.4
3698,Foxtrot,25,495,Platinum,71.32
3699,Echo,40,4260,Platinum,89.84
3700,Charlie,20,1045,Silver,55.16
3701,Gamma,21,276,Silver,17.37
3702,Alpha,31,2256,Silver,36.34
3703,Bravo,35,4687,Gold,11.91
3704,Bravo,10,171,Bronze,78.33
3705,Gamma,45,1645,Bronze,87.4
3706,Echo,46,3673,None,26.44
3707,Charlie,28,4220,Platinum,6.69
3708,Echo,22,4865,Gold,67.75
3709,Foxtrot,5,838,Silver,63.9
3710,Zeta,41,4383,Silver,33.89
3711,Delta,12,3561,None,42.79
3712,Foxtrot,19,2167,Gold,38.53
3713,Gamma,41,810,Platinum,94.47
3714,Foxtrot,31,3805,None,63.63
3715,Zeta,37,1987,None,33.17
